GRAND_ID,GDW_ID,Name,Main_use,Uses,Cap_mcm,River,Disch_ls,Reg_degre,Elev,area_km,perm_km,HUC2,Lat,Long
41,480,Ross,Hydroelectricity,"Hydropower (Main), Flood control (Sec), Recreation (Sec), Fisheries (Sec)",1791.9,Skagit River,71572,79.4,472,35.094,73.016,17,48.732466000000066,-121.06730499999998
42,2175,Diablo,Hydroelectricity,"Hydropower (Main), Flood control (Sec), Recreation (Sec), Fisheries (Sec)",111,Skagit River,83329,4.2,370,2.564,14.397,17,48.71458300000008,-121.13031999999998
55,2215,Keechelus Lake,Irrigation,Irrigation (Main),196.923,Yakima River,5800,106.6,758,9.22,21.507,17,47.32365400000007,-121.34017099999994
57,521,Kachess Lake,Irrigation,Irrigation (Main),302.2,Kachess River,5965,160.6,688,16.987,37.606,17,47.26595600000007,-121.20520799999997
63,2248,Rimrock,Irrigation,Irrigation (Main),245.629,Tieton River,9112,85,883,8.239,27.022,17,46.654792000000015,-121.12832199999998
80,2377,Detroit Lake,Hydroelectricity,"Hydropower (Main), Irrigation (Sec), Flood control (Sec), Recreation (Sec), Other (Sec)",561.405,North Santiam River,52032,34.2,455,8.469,37.029,17,44.719354000000045,-122.24791699999999
88,2417,Blue River Lake,Flood control,"Flood control (Main), Recreation (Sec)",109.8,Blue River,10300,33.8,391,2.399,19.686,17,44.17358000000007,-122.32812499999994
89,2423,South Fork Mckenzie River,Hydroelectricity,"Hydropower (Main), Irrigation (Sec), Water supply (Sec), Flood control (Sec), Recreation (Sec), Other (Sec)",270.1,South Fork of Mckenzie River,19525,43.9,487,2.835,16.148,17,44.126141000000075,-122.24003599999998
90,666,Fern Ridge Lake,Flood control,"Flood control (Main), Recreation (Sec)",149.3,Long Tom River,23230,20.4,111,26.741,39.176,17,44.11751800000007,-123.29687499999994
92,2436,Fall Creek Lake,Flood control,"Flood control (Main), Irrigation (Sec), Hydropower (Sec), Water supply (Sec), Recreation (Sec), Other (Sec)",154.2,Fall Creek,17550,27.9,234,3.297,19.713,17,43.94483700000003,-122.75519999999995
97,2444,Dorena Lake,Flood control,"Flood control (Main), Irrigation (Sec), Recreation (Sec), Other (Sec)",161.6,Row River,21781,23.5,241,4.163,11.559,17,43.78714000000002,-122.95427799999997
100,2452,Hills Creek Lake,Flood control,"Flood control (Main), Irrigation (Sec), Hydropower (Sec), Water supply (Sec), Recreation (Sec), Other (Sec)",439.1,Middle Fork of Willamette River,32820,42.4,450,7.402,27.744,17,43.70854800000008,-122.42170299999998
116,2558,Applegate Reservoir,Irrigation,"Irrigation (Main), Flood control (Sec), Recreation (Sec)",110.2,Applegate River,11932,29.3,589,2.218,17.867,17,42.05466100000004,-123.11391599999996
131,757,Clair Engle Lake,Irrigation,"Irrigation (Main), Hydropower (Sec), Flood control (Sec), Recreation (Sec)",3079.727,Trinity River,41008,203.6,716,56.355,167.465,18,40.802949000000055,-122.76068699999996
132,138,Shasta Lake,Irrigation,"Irrigation (Main), Hydropower (Sec), Water supply (Sec), Recreation (Sec), Navigation (Sec)",5595.835,Sacramento River,127250,121.9,323,102.594,364.449,18,40.72045900000005,-122.42203099999996
133,759,Whiskeytown,Hydroelectricity,Hydropower (Main),313.142,Clear Creek,11922,70.1,370,11.094,30.181,18,40.59943200000004,-122.54056399999995
148,785,Lake Oroville,Flood control,"Flood control (Main), Irrigation (Sec), Hydropower (Sec), Water supply (Sec), Recreation (Sec)",4366.5,Feather River,134108,103.2,254,45.595,172.066,18,39.53961600000005,-121.48121799999996
182,809,Folsom Lake,Irrigation,"Irrigation (Main), Hydropower (Sec), Water supply (Sec), Flood control (Sec), Recreation (Sec)",1208.604,American River,93684,37.3,130,33.702,88.469,18,38.71042600000006,-121.15624099999997
192,2921,Beardsley,Hydroelectricity,Hydropower (Main),120.634,Middle Fork of Stanislaus River,11443,33.4,1010,1.836,7.885,18,38.20629700000013,-120.07281699999999
198,832,New Melones,Irrigation,"Irrigation (Main), Hydropower (Sec), Flood control (Sec), Recreation (Sec), Fisheries (Sec)",2985,Stanislaus River,41524,227.9,327,43.237,142.8,18,37.948664000000115,-120.52286299999999
210,837,Don Pedro Reservoir,Irrigation,Irrigation (Main),2521.233,Tuolumne River,57604,137.8,245,41.577,140.022,18,37.702820000000024,-120.41901699999994
293,487,Fresno,Irrigation,"Irrigation (Main), Water supply (Sec), Flood control (Sec)",144.39,Milk River,227,1772.7,774,11.295,40.075,10,48.599168000000105,-109.94903699999998
300,493,Lake Elwell,Irrigation,"Irrigation (Main), Water supply (Sec), Flood control (Sec), Recreation (Sec)",1757.1,Marias River,30288,184,906,65.333,178.975,10,48.32293100000002,-111.10209699999996
305,102,Pend Oreille Lake,Hydroelectricity,"Hydropower (Main), Flood control (Sec)",1902.396,Pend Oreille River,765940,5.9,623,361.338,318.744,17,48.17829400000005,-116.99774499999997
307,104,Fort Peck Lake,Flood control,"Flood control (Main), Irrigation (Sec), Hydropower (Sec), Recreation (Sec), Navigation (Sec)",23560,Missouri,306445,243.8,677,816.432,1214.916,10,48.001098000000106,-106.41458300000001
310,105,Franklin D. Roosevelt,Hydroelectricity,"Hydropower (Main), Irrigation (Sec), Flood control (Sec)",6396.151,Columbia River,3166706,6.4,383,270.004,494.412,17,47.95465200000004,-118.98094999999995
319,2197,Gibson,Irrigation,Irrigation (Main),122.206,Sun River,12921,30,1428,3.921,17.747,10,47.600420000000035,-112.76239499999997
355,606,Bighorn Lake,Irrigation,"Irrigation (Main), Hydropower (Sec), Water supply (Sec), Flood control (Sec), Recreation (Sec), Other (Sec)",1760.6,Bighorn River,113929,49,1105,11.103,63.582,10,45.30585900000001,-107.95714299999997
362,624,Clark Canyon,Irrigation,"Irrigation (Main), Flood control (Sec)",281.208,Beaverhead River,19694,35.1,1687,18.071,26.201,10,44.99786900000003,-112.86042599999996
364,633,Hebgen Lake,Hydroelectricity,"Hydropower (Main), Water supply (Sec), Flood control (Sec), Recreation (Sec)",648.3,Madison River,24465,84,1991,48.229,85.438,10,44.86322700000005,-111.33405699999997
368,642,Lima,Irrigation,Irrigation (Main),164.1,Red Rock River,9658,53.9,2003,14.348,47.031,10,44.65490200000005,-112.363205
