GRAND_ID,HUC2,Month,demand_res_irr,demand_res_watsupply,demand_Thermoelectric,Total_demand_res_Mm3_month
767,07,1,0,4.617796145204864,37.41557969463421,42.033375839839074
767,07,2,0,4.533514528965696,33.9509260322209,38.484440561186595
767,07,3,0,4.725822989588142,33.078815827662055,37.80463881725019
767,07,4,0,4.849779650801589,30.115965243891434,34.965744894693024
767,07,5,0,5.038780285005463,31.663439657572496,36.70221994257796
767,07,6,0,5.345283938246279,35.59336382010979,40.93864775835607
767,07,7,0,5.6130919019910435,39.17356860967993,44.78666051167097
767,07,8,0,5.500482011370794,38.25127357438345,43.75175558575424
767,07,9,0,5.127347072288762,33.732198673849354,38.85954574613812
767,07,10,0,4.866622283067361,32.69318076225683,37.55980304532419
767,07,11,0,4.6221600718530444,32.13424911669222,36.75640918854526
767,07,12,0,4.588696882411776,35.86642783544471,40.455124717856485
961,07,1,0,12.643336465280747,102.44232275476506,115.08565922004581
961,07,2,0,12.412576856488577,92.95624311587807,105.36881997236665
961,07,3,0,12.939109534916698,90.56844114187969,103.50755067679638
961,07,4,0,13.278497789736447,82.45627775288635,95.7347755426228
961,07,5,0,13.79597377508768,86.69319923412137,100.48917300920904
961,07,6,0,14.635168207649507,97.45317042115421,112.08833862880371
961,07,7,0,15.368415429318825,107.25562430733301,122.62403973665184
961,07,8,0,15.060094167041209,104.73041832490347,119.79051249194468
961,07,9,0,14.038466006459672,92.35737657887748,106.39584258533715
961,07,10,0,13.324612226147474,89.51258814806752,102.837200374215
961,07,11,0,12.655284717474608,87.98225622483947,100.63754094231408
961,07,12,0,12.56366387714221,98.2008084965216,110.7644723736638
1659,07,1,0,6.970736145753933,56.480218179954505,63.45095432570844
1659,07,2,0,6.843509891006635,51.25019377920614,58.093703670212776
1659,07,3,0,7.13380671127385,49.93371077847604,57.06751748974989
1659,07,4,0,7.3209239316225245,45.461176909651094,52.78210084127362
1659,07,5,0,7.6062274640843075,47.79714746592549,55.4033749300098
1659,07,6,0,8.068906202440916,53.72951510374704,61.798421306187954
1659,07,7,0,8.473172348952145,59.13396825652925,67.60714060548139
1659,07,8,0,8.303183503573797,57.74172937516014,66.04491287873394
1659,07,9,0,7.73992234493566,50.92001664381027,58.65993898874593
1659,07,10,0,7.346348515522047,49.35158021121793,56.697928726739974
1659,07,11,0,6.977323656390468,48.50785196895052,55.485175625340986
1659,07,12,0,6.926809719253447,54.141715456890914,61.06852517614436
768,07,1,0,5.384125691476344,43.624745995889675,49.00887168736602
768,07,2,0,5.285857426476457,39.585128349442115,44.87098577591857
768,07,3,0,5.510079737502626,38.56829027116535,44.07837000866798
768,07,4,0,5.6546071751120115,35.113750606253966,40.76835778136598
768,07,5,0,5.874972721429832,36.918030502033744,42.79300322346358
768,07,6,0,6.232341072490298,41.50013092044275,47.73247199293305
768,07,7,0,6.5445921317921325,45.674475560642556,52.21906769243469
768,07,8,0,6.413294476777107,44.599124410761824,51.01241888753893
768,07,9,0,5.978237287432535,39.33010288867987,45.3083401761124
768,07,10,0,5.674244865092846,38.11865854254552,43.79290340763836
768,07,11,0,5.389213817682735,37.46697143076418,42.85618524844692
768,07,12,0,5.350197366474388,41.81851028023954,47.16870764671393
774,09,1,0,0.08308923544195769,0.013751308849620034,0.09684054429157772
774,09,2,0,0.08272868107211372,0.012010671529099591,0.0947393526012133
774,09,3,0,0.08210731500893219,0.012627052774218278,0.09473436778315046
774,09,4,0,0.08631626081106204,0.0074487802794760746,0.09376504109053811
774,09,5,0,0.10223156892532538,0.006498717360179274,0.10873028628550466
774,09,6,0,0.1174204138256085,0.006838547483753918,0.12425896130936241
774,09,7,0,0.13105245284328917,0.0104337992072037,0.14148625205049287
774,09,8,0,0.12430509327957094,0.00962828133054388,0.1339333746101148
774,09,9,0,0.10555473381860471,0.007091598941226508,0.11264633275983121
774,09,10,0,0.08538832131091492,0.0088749817020659,0.09426330301298082
774,09,11,0,0.08122691249317128,0.009878950869037657,0.09110586336220894
774,09,12,0,0.08318116413535531,0.011892627755751261,0.09507379189110657
451,14,1,0,0.8027421233984285,1.9418562797108823,2.7445984031093107
451,14,2,0,0.797634888498289,1.6189795801551494,2.4166144686534383
451,14,3,0,0.8546905076733095,1.6679183681693561,2.5226088758426655
451,14,4,0,0.9970674737874117,1.514024448743695,2.5110919225311066
451,14,5,0,1.2780302651348125,1.6166429993571938,2.894673264492006
451,14,6,0,1.6715575936805436,1.7580706573259721,3.4296282510065157
451,14,7,0,1.7633432824689956,2.0234562489393086,3.7867995314083043
451,14,8,0,1.652289184206353,2.0532668557613047,3.7055560399676577
451,14,9,0,1.3924322605492057,1.8887632016589089,3.2811954622081148
451,14,10,0,0.953762729201578,1.8221284488512717,2.7758911780528495
451,14,11,0,0.8048596606383838,1.785211689306426,2.59007134994481
451,14,12,0,0.8029073975340136,1.9376633669587813,2.740570764492795
597,14,1,0,5.227545143715762,12.645582023055514,17.873127166771276
597,14,2,0,5.1942862673944195,10.542973385008741,15.73725965240316
597,14,3,0.26487723762134613,5.5658387451407965,10.861668164024373,16.692384146786516
597,14,4,10.850439901783421,6.493013233799524,9.85949400660607,27.202947142189014
597,14,5,155.99019108225585,8.322673884040425,10.527757313437037,174.8406222797333
597,14,6,518.5823373384693,10.88536720147784,11.448749802870447,540.9164543428176
597,14,7,655.0308604577945,11.48308571867409,13.176970012340956,679.6909161888095
597,14,8,504.08354317585696,10.759889196228153,13.371099968127764,528.2145323402128
597,14,9,278.5465867681472,9.067672281568239,12.299834049645925,299.9140930993614
597,14,10,66.56918760320801,6.211007966278303,11.865901198374122,84.64609676786043
597,14,11,3.401102968566643,5.241334779506273,11.625495193188573,20.267932941261492
597,14,12,0,5.228621427094541,12.618277313290843,17.846898740385384
423,14,1,0,0.07685802189955492,0.1859217650619422,0.2627797869614971
423,14,2,0,0.07636903301961512,0.15500814570401839,0.2313771787236335
423,14,3,0,0.08183178612578278,0.15969375809596542,0.2415255442217482
423,14,4,0,0.09546357603767029,0.14495928498852248,0.24042286102619276
423,14,5,0,0.12236417554641271,0.1547844312969818,0.2771486068433945
423,14,6,0,0.16004219337285377,0.16832533031863692,0.3283675236914907
423,14,7,0,0.16883015437968785,0.19373450098192904,0.36256465536161686
423,14,8,0,0.15819735205436486,0.19658869812093577,0.3547860501753006
423,14,9,0,0.1333175201045481,0.18083840287539352,0.3141559229799416
423,14,10,0,0.09131739146516757,0.1744585018570202,0.26577589332218776
423,14,11,0,0.07706076412376087,0.17092393075273285,0.24798469487649372
423,14,12,0,0.07687384596404832,0.18552031736070582,0.2623941633247541
488,14,1,0,0.041415798974953136,0.10018600865030139,0.14160180762525454
488,14,2,0,0.0411523018844472,0.08352786141631166,0.12468016330075886
488,14,3,0,0.04409596708559584,0.0860527557097537,0.13014872279534953
488,14,4,0,0.0514416085255663,0.07811292117930965,0.12955452970487596
488,14,5,0,0.06593729543012676,0.08340731042266605,0.1493446058527928
488,14,6,0,0.08624051392973818,0.09070397429665857,0.17694448822639675
488,14,7,0,0.09097600435043134,0.1043959881984277,0.19537199254885904
488,14,8,0,0.08524640068952134,0.10593400403623414,0.19118040472575548
488,14,9,0,0.07183962683433583,0.09744678246113249,0.16928640929546832
488,14,10,0,0.04920739090554687,0.09400890191819623,0.1432162928237431
488,14,11,0,0.04152504887488449,0.0921042590104051,0.1336293078852896
488,14,12,0,0.041424325947907,0.0999696840965015,0.1413940100444085
492,14,1,0,0.11811764546782,0.28572998091257124,0.40384762638039123
492,14,2,0,0.11736615312218146,0.23822103075746026,0.3555871838796417
492,14,3,0.00598496517690806,0.1257614711218538,0.2454220162841881,0.37716845258294995
492,14,4,0.2451683109861687,0.14671120269324958,0.22277764907767073,0.614657162757089
